VASSETID,INDOOR,OUTDOOR,MQTT,CUR,VOL,HUM,TMP1,TMP2,TMP3,TMP4
ACO.P1.H1.FPR00.012,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.GAEO1.025,1,1,1,9.35,218.9,0,0,21.87,94.25,93.5
ACO.P1.H5.RMCIA.013,0,0,0,0,0,0,0,0,0,0
ACO.P1.H1.GAIT0.004,1,1,1,0,225.4,0,0,15.5,38.62,38.5
ACO.P1.H2.GAIT0.003,1,1,1,4.15,226.1,99.9,11.3,10.93,74.75,68.31
ACO.P1.B1.SECP1.036,1,0,1,1.87,224.5,99.9,23.9,0,0,0
ACO.P1.H3.GAEO1.009,1,1,1,5.24,223.8,99.9,3.7,10.93,66.87,39.81
ACO.P1.B1.SECP1.039,1,1,1,9.49,216.2,0,0,9.43,65.68,64.93
ACO.P1.H5.GAEO1.007,1,1,1,0.14,220.8,99.9,26.9,24.68,26.31,26
ACO.P1.H3.GAEO1.005,1,1,1,0.14,219.6,99.9,15.2,14.12,69.62,69.37
ACO.P1.H1.IT000.010,1,1,1,0.02,230.3,54.5,24.4,27.19,27.25,27.5
ACO.P1.H2.IT000.004,1,1,1,0.02,226,99.9,26.8,27.75,27.87,27.06
ACO.P1.H5.BC000.031,1,0,1,0,220.7,82.2,26.3,0,0,0
ACO.P1.H1.GAEO1.016,1,1,1,6.16,217.1,0,0,25.56,26.12,27.25
ACO.P1.H1.GAEO1.029,0,0,0,0,0,0,0,0,0,0
ACO.P1.H4.GAEO1.009,1,1,1,0,224.7,99.9,25.9,28.12,26.5,26.87
ACO.P1.H1.IT000.008,1,1,1,0.11,230.4,97.5,24.3,38.88,45.06,54.19
ACO.P1.H1.GAEO1.014,1,1,1,6.28,222.3,0,0,0,0,0
ACO.P1.H1.IT000.001,1,1,1,3.82,222.2,99.9,24.7,9.68,61.18,56.75
ACO.P1.H1.GAIT0.007,1,1,1,0.1,230.3,95.3,23.7,0,0,0
ACO.P1.H1.GAE01.041,1,1,1,0.15,231.1,99.7,25.1,27.12,38.69,39.31
ACO.P1.H5.GAEO1.006,1,1,1,8.94,221.8,99.9,16.5,26,26.5,26.62
ACO.P1.H1.GAIT0.003,1,1,1,0.12,225.6,99.9,20,44.12,33.62,30.12
ACO.P1.H1.GAIT0.002,1,1,1,4.15,221.4,0,0,26.06,25.68,25.62
ACO.P1.H5.GAEO1.003,1,1,1,7.29,223,99.9,14.7,19.62,80.37,45.18
ACO.P1.B2.MDE00.034,1,1,1,0.21,221.1,99.9,4,7,61.43,62.62
ACO.P1.H4.GAEO1.006,1,1,1,1.69,220.1,99.9,17.4,21.56,63.31,46.5
ACO.P1.H2.PUTS0.007,1,1,1,0.06,225.1,1,27.6,26.43,25.43,26.25
