VASSETID,NAVGRUNHOURDAY
ACO.P1.A4.IT000.004,22.265
ACO.P1.H1.P1PAY.020,21.722
ACO.P1.H1.GAEO1.027,21.425
ACO.P1.H1.P1PAY.021,21.227
ACO.P1.C2.GAEO1.007,20.79
ACO.P1.A4.SI000.010,20.18
ACO.P1.B2.SECP1.030,19.608
ACO.P1.B1.SECP1.039,18.695
ACO.P1.C2.IT000.009,18.68
ACO.P1.H1.IT000.001,18.334
ACO.P1.A4.SI000.009,17.924
ACO.P1.A4.IT000.005,17.898
ACO.P1.A4.SI000.011,17.889
ACO.P1.B1.SECP1.038,17.81
ACO.P1.A4.SI000.012,16.848
ACO.P1.H1.GAEO1.026,16.737
ACO.P1.C2.IT000.008,16.679
ACO.P1.A4.IT000.008,15.92
ACO.P1.H1.P1PAY.022,15.711
ACO.P1.H1.P1PAY.023,15.575
ACO.P1.A4.SI000.015,14.915
ACO.P1.C2.HC000.002,14.792
ACO.P1.H1.GAEO1.028,14.585
ACO.P1.A4.SI000.017,14.435
ACO.P1.H1.FPR00.013,14.362
ACO.P1.A4.SI000.014,14.186
ACO.P1.B1.SECP1.036,14.099
ACO.P1.C2.GAEO1.001,13.903
ACO.P1.H1.GAEO1.018,13.895
ACO.P1.A4.SI000.016,13.831
ACO.P1.H4.GAHR0.022,13.735
ACO.P1.C2.GAEO1.006,13.21
ACO.P1.H1.GAEO1.025,12.945
ACO.P1.H4.SI000.017,12.858
ACO.P1.H1.P1PAY.024,12.827
ACO.P1.H2.PUTS0.008,12.694
ACO.P1.H4.IRE00.025,12.607
ACO.P1.H1.GAEO1.014,11.661
ACO.P1.H1.FPR00.010,11.598
ACO.P1.H1.FPR00.011,11.467
ACO.P1.H2.GAIT0.003,11.373
ACO.P1.A4.SI000.013,11.009
ACO.P1.H4.HR000.038,10.952
ACO.P1.H4.GAHR0.037,10.847
ACO.P1.B1.SECP1.035,10.846
ACO.P1.H4.GAEO1.002,10.692
ACO.P1.C2.IT000.011,10.338
ACO.P1.H1.FPR00.012,10.187
ACO.P1.B2.MDE00.036,10.16
ACO.P1.H1.GAEO1.016,10.106
ACO.P1.H1.GAEO1.015,10.009
ACO.P1.H4.IRE00.024,9.989
ACO.P1.C2.IT000.012,9.874
ACO.P1.H1.P1PAY.019,9.765
ACO.P1.B2.MDE00.035,9.746
ACO.P1.A4.IT000.007,9.703
ACO.P1.H1.GAEO1.029,9.572
ACO.P1.H4.GAEO1.008,9.55
ACO.P1.H3.GAEO1.003,9.314
ACO.P1.A4.IT000.006,9.299
ACO.P1.H5.GAEO1.003,9.144
ACO.P1.H4.HR000.020,8.904
ACO.P1.H4.GAEO1.009,8.788
ACO.P1.H3.GAEO1.007,8.784
ACO.P1.H5.GAEO1.007,8.639
ACO.P1.H4.GAHR0.035,8.566
ACO.P1.C2.EO100.022,8.501
ACO.P1.C2.IT000.010,8.419
ACO.P1.H4.GAEO1.005,8.412
ACO.P1.H4.GAEO1.007,8.369
ACO.P1.H3.GAEO1.005,8.323
ACO.P1.H3.GAEO1.009,8.263
ACO.P1.H1.GAE01.041,8.228
ACO.P1.C2.IT000.017,8.145
ACO.P1.H4.GAEO1.004,8.13
ACO.P1.H4.GAHR0.036,8.124
ACO.P1.H3.GAEO1.006,8.122
ACO.P1.C2.HC000.003,8.088
ACO.P1.H1.IT000.008,7.904
ACO.P1.H4.HR000.040,7.784
ACO.P1.H3.GAEO1.004,7.684
ACO.P1.B2.MDE00.034,7.665
ACO.P1.H1.GAIT0.007,7.159
ACO.P1.B2.MDE00.005,6.967
ACO.P1.H4.GAEO1.006,6.65
ACO.P1.H3.GAEO1.008,5.453
ACO.P1.H1.GAIT0.003,5.385
ACO.P1.H4.HR000.042,5.315
ACO.P1.H5.RMCIA.013,5.216
ACO.P1.H5.BC000.031,4.911
ACO.P1.H5.GAEO1.006,4.412
ACO.P1.H1.GAIT0.004,4.142
ACO.P1.H1.GAIT0.002,3.899
ACO.P1.H2.PUTS0.007,3.059
ACO.P1.H5.BC000.030,2.589
ACO.P1.H2.IT000.004,1.777
ACO.P1.H1.IT000.010,1.499
ACO.P1.H4.IRE00.021,1.446
ACO.P1.H4.HR000.018,0.332
ACO.P1.H4.HR000.023,0
