TIME,VASSETID,NRUNHOURDAY
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.004,15.993
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.004,23.996
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.004,23.998
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.004,23.997
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.004,23.998
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.004,23.997
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.004,23.998
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.004,7.999
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.005,9.633
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.005,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.005,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.005,14.605
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.005,11.936
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.005,11.467
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.005,18.299
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.005,8.005
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.006,6.958
2020-11-30T17:00:00Z,ACO.P1.A4.IT000.006,9.34
2020-12-01T17:00:00Z,ACO.P1.A4.IT000.006,7.317
2020-12-02T17:00:00Z,ACO.P1.A4.IT000.006,3.283
2020-12-03T17:00:00Z,ACO.P1.A4.IT000.006,0.0
2020-11-26T17:00:00Z,ACO.P1.A4.IT000.007,8.046
2020-11-27T17:00:00Z,ACO.P1.A4.IT000.007,0.0
2020-11-28T17:00:00Z,ACO.P1.A4.IT000.007,0.0
2020-11-29T17:00:00Z,ACO.P1.A4.IT000.007,1.871
