VASSETID,NLSTHOUR,NLSTMTC,NVALUE,VPMID
ACO.P1.A4.IT000.004,4749.3,1605870960469.0,750.0,IOT000PM0001
ACO.P1.A4.IT000.005,4017.1,1602940528180.0,750.0,IOT000PM0001
ACO.P1.A4.IT000.006,1583.8,1598563895635.0,750.0,IOT000PM0001
ACO.P1.A4.IT000.007,1754.5,1601021720552.0,750.0,IOT000PM0001
ACO.P1.A4.IT000.008,3487.0,1600935320541.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.009,2901.9,1606068963122.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.010,3209.4,1602540924089.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.011,1924.9,1598826695663.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.012,3073.1,1603674935229.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.013,1985.7,1605100551162.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.014,2850.9,1605860160476.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.015,2548.6,1603217729921.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.016,2710.7,1603152929069.0,750.0,IOT000PM0001
ACO.P1.A4.SI000.017,2160.8,1599035495676.0,750.0,IOT000PM0001
ACO.P1.B1.SECP1.035,2813.8,1606184163501.0,750.0,IOT000PM0001
ACO.P1.B1.SECP1.036,2689.0,1599348695711.0,750.0,IOT000PM0001
ACO.P1.B1.SECP1.038,3372.4,1602782126667.0,750.0,IOT000PM0001
ACO.P1.B1.SECP1.039,4001.4,1601903724160.0,750.0,IOT000PM0001
ACO.P1.B2.MDE00.005,1334.6,1596589014401.0,750.0,IOT000PM0001
ACO.P1.B2.MDE00.034,1385.5,1596589014401.0,750.0,IOT000PM0001
ACO.P1.B2.MDE00.035,2246.9,1606205763507.0,750.0,IOT000PM0001
ACO.P1.B2.MDE00.036,2384.6,1606097763240.0,750.0,IOT000PM0001
ACO.P1.B2.SECP1.030,3147.6,1603368931331.0,750.0,IOT000PM0001
ACO.P1.C2.EO100.022,1755.9,1602123324457.0,750.0,IOT000PM0001
ACO.P1.C2.GAEO1.001,3883.9,1605672956939.0,750.0,IOT000PM0001
ACO.P1.C2.GAEO1.006,3353.4,1601903724160.0,750.0,IOT000PM0001
ACO.P1.C2.GAEO1.007,4167.2,1602242122323.0,750.0,IOT000PM0001
ACO.P1.C2.HC000.002,3566.2,1605597356323.0,750.0,IOT000PM0001
ACO.P1.C2.HC000.003,1919.7,1605586556317.0,750.0,IOT000PM0001
ACO.P1.C2.IT000.008,3893.5,1602468923728.0,750.0,IOT000PM0001
ACO.P1.C2.IT000.009,3672.5,1605392153759.0,750.0,IOT000PM0001
ACO.P1.C2.IT000.010,2019.2,1601460920605.0,750.0,IOT000PM0001
ACO.P1.C2.IT000.011,2323.3,1602767726639.0,750.0,IOT000PM0001
ACO.P1.C2.IT000.012,1968.5,1600423935643.0,750.0,IOT000PM0001
ACO.P1.C2.IT000.017,2384.7,1602591324687.0,750.0,IOT000PM0001
