TIME,VASSETID,LASTRUNHOUR
2020-11-27T01:00:10Z,ACO.P1.A4.IT000.004,14963762.0
2020-11-27T01:00:20Z,ACO.P1.A4.IT000.005,12773326.0
2020-11-27T01:00:20Z,ACO.P1.A4.IT000.006,3877539.0
2020-11-27T01:00:20Z,ACO.P1.A4.IT000.007,4589096.0
2020-11-27T01:00:20Z,ACO.P1.A4.IT000.008,11318173.0
2020-11-27T01:00:10Z,ACO.P1.A4.SI000.009,8056895.0
2020-11-27T01:00:20Z,ACO.P1.A4.SI000.010,11173899.0
2020-11-25T23:00:01Z,ACO.P1.A4.SI000.011,6414248.0
2020-11-27T01:00:15Z,ACO.P1.A4.SI000.012,9616736.0
2020-11-27T01:00:20Z,ACO.P1.A4.SI000.013,4922359.0
2020-11-27T01:00:20Z,ACO.P1.A4.SI000.014,7825065.0
2020-11-27T01:00:25Z,ACO.P1.A4.SI000.015,7032600.0
2020-11-27T01:00:25Z,ACO.P1.A4.SI000.016,7951771.0
2020-11-27T01:00:25Z,ACO.P1.A4.SI000.017,6918367.0
2020-11-27T01:00:15Z,ACO.P1.B1.SECP1.035,7554420.0
2020-11-27T01:00:35Z,ACO.P1.B1.SECP1.036,9138065.0
2020-11-27T01:00:31Z,ACO.P1.B1.SECP1.038,9979922.0
2020-11-27T01:00:35Z,ACO.P1.B1.SECP1.039,14403929.0
2020-11-27T00:59:30Z,ACO.P1.B2.MDE00.005,4026271.0
2020-11-27T01:00:00Z,ACO.P1.B2.MDE00.034,4274740.0
2020-11-26T23:00:02Z,ACO.P1.B2.MDE00.035,5614451.0
2020-11-27T01:00:10Z,ACO.P1.B2.MDE00.036,6183463.0
2020-11-26T22:59:17Z,ACO.P1.B2.SECP1.030,9880654.0
2020-11-27T01:00:35Z,ACO.P1.C2.EO100.022,4571252.0
2020-11-27T01:00:15Z,ACO.P1.C2.GAEO1.001,11603739.0
2020-11-26T10:27:15Z,ACO.P1.C2.GAEO1.006,10609958.0
2020-11-27T01:00:30Z,ACO.P1.C2.GAEO1.007,14955799.0
2020-11-27T01:00:25Z,ACO.P1.C2.HC000.002,10417907.0
2020-11-27T01:00:25Z,ACO.P1.C2.HC000.003,4445848.0
2020-11-27T01:00:15Z,ACO.P1.C2.IT000.008,13524372.0
2020-11-27T01:00:10Z,ACO.P1.C2.IT000.009,11567707.0
2020-11-27T00:59:00Z,ACO.P1.C2.IT000.010,5682646.0
2020-11-27T01:00:10Z,ACO.P1.C2.IT000.011,6233872.0
2020-11-27T01:00:35Z,ACO.P1.C2.IT000.012,5552082.0
2020-11-27T01:00:15Z,ACO.P1.C2.IT000.017,6301399.0
2020-11-27T01:00:25Z,ACO.P1.H1.FPR00.010,9156996.0
2020-11-26T23:00:02Z,ACO.P1.H1.FPR00.011,8370811.0
2020-11-24T04:43:30Z,ACO.P1.H1.FPR00.012,6723090.0
2020-11-27T01:00:35Z,ACO.P1.H1.FPR00.013,12605967.0
2020-11-27T01:00:05Z,ACO.P1.H1.GAE01.041,6904866.0
2020-11-27T01:00:05Z,ACO.P1.H1.GAEO1.014,8747647.0
2020-11-27T01:00:05Z,ACO.P1.H1.GAEO1.015,7127364.0
2020-11-27T01:00:45Z,ACO.P1.H1.GAEO1.016,7640037.0
2020-11-27T01:00:20Z,ACO.P1.H1.GAEO1.018,12869843.0
2020-11-26T22:59:57Z,ACO.P1.H1.GAEO1.025,11898013.0
2020-11-27T01:00:30Z,ACO.P1.H1.GAEO1.026,15348223.0
2020-11-27T01:00:30Z,ACO.P1.H1.GAEO1.027,19899170.0
2020-11-27T00:58:05Z,ACO.P1.H1.GAEO1.028,13466471.0
2020-11-27T00:58:45Z,ACO.P1.H1.GAEO1.029,5986605.0
2020-11-27T01:00:05Z,ACO.P1.H1.GAIT0.002,5007880.0
2020-11-27T01:00:00Z,ACO.P1.H1.GAIT0.003,3835285.0
2020-11-27T01:00:00Z,ACO.P1.H1.GAIT0.004,3922560.0
2020-11-27T01:00:00Z,ACO.P1.H1.GAIT0.007,5598663.0
2020-11-27T01:00:05Z,ACO.P1.H1.IT000.001,8271707.0
2020-11-27T01:00:05Z,ACO.P1.H1.IT000.008,8072372.0
2020-11-27T00:59:50Z,ACO.P1.H1.IT000.010,2127600.0
2020-11-27T01:00:10Z,ACO.P1.H1.P1PAY.019,10701686.0
2020-11-27T01:00:25Z,ACO.P1.H1.P1PAY.020,20114514.0
2020-11-27T01:00:35Z,ACO.P1.H1.P1PAY.021,19442685.0
2020-11-27T01:00:40Z,ACO.P1.H1.P1PAY.022,12867312.0
2020-11-27T00:54:48Z,ACO.P1.H1.P1PAY.023,11912098.0
2020-11-27T01:00:15Z,ACO.P1.H1.P1PAY.024,8760770.0
2020-11-26T09:17:20Z,ACO.P1.H2.GAIT0.003,8431913.0
2020-11-27T01:00:00Z,ACO.P1.H2.IT000.004,2592082.0
2020-11-27T01:00:05Z,ACO.P1.H2.PUTS0.007,3615702.0
2020-11-27T01:00:20Z,ACO.P1.H2.PUTS0.008,9982593.0
2020-11-27T01:00:20Z,ACO.P1.H3.GAEO1.003,6009615.0
2020-11-27T01:00:10Z,ACO.P1.H3.GAEO1.004,5674967.0
2020-11-27T00:59:55Z,ACO.P1.H3.GAEO1.005,6514824.0
2020-11-27T01:00:10Z,ACO.P1.H3.GAEO1.006,6510505.0
2020-11-27T01:00:05Z,ACO.P1.H3.GAEO1.007,7065860.0
2020-11-26T10:07:16Z,ACO.P1.H3.GAEO1.008,6066996.0
2020-11-27T01:00:40Z,ACO.P1.H3.GAEO1.009,6862616.0
2020-11-27T01:00:05Z,ACO.P1.H4.GAEO1.002,7394878.0
2020-11-27T01:00:15Z,ACO.P1.H4.GAEO1.004,6064842.0
2020-11-27T01:00:15Z,ACO.P1.H4.GAEO1.005,6330641.0
2020-11-27T01:00:10Z,ACO.P1.H4.GAEO1.006,5334766.0
2020-11-27T01:00:20Z,ACO.P1.H4.GAEO1.007,6523690.0
2020-11-27T01:00:05Z,ACO.P1.H4.GAEO1.008,7277523.0
2020-11-27T01:00:00Z,ACO.P1.H4.GAEO1.009,6403502.0
2020-11-27T01:00:30Z,ACO.P1.H4.GAHR0.035,6661687.0
2020-11-27T01:00:10Z,ACO.P1.H4.GAHR0.036,5607986.0
2020-11-27T01:00:05Z,ACO.P1.H4.GAHR0.037,7454192.0
2020-11-27T01:00:31Z,ACO.P1.H4.HR000.018,1840800.0
2020-11-27T01:00:10Z,ACO.P1.H4.HR000.020,6279019.0
2020-11-25T09:30:39Z,ACO.P1.H4.HR000.023,2275161.0
2020-11-27T01:00:05Z,ACO.P1.H4.HR000.038,7535082.0
2020-11-27T01:00:10Z,ACO.P1.H4.HR000.040,4866092.0
2020-11-27T01:00:20Z,ACO.P1.H4.HR000.042,4209226.0
2020-11-27T01:00:31Z,ACO.P1.H4.IRE00.021,3404135.0
2020-11-27T01:00:05Z,ACO.P1.H4.IRE00.024,4865265.0
2020-11-27T01:00:05Z,ACO.P1.H4.IRE00.025,9041893.0
2020-11-27T01:00:10Z,ACO.P1.H4.SI000.017,11617712.0
2020-11-27T01:00:05Z,ACO.P1.H5.BC000.030,2252882.0
2020-11-27T01:00:40Z,ACO.P1.H5.BC000.031,3722088.0
2020-11-27T01:00:00Z,ACO.P1.H5.GAEO1.003,6658558.0
2020-11-27T01:00:05Z,ACO.P1.H5.GAEO1.006,4165616.0
2020-11-27T01:00:00Z,ACO.P1.H5.GAEO1.007,5767415.0
2020-11-27T01:00:00Z,ACO.P1.H5.RMCIA.013,3823548.0
